Date,BBCA.JK,TLKM.JK,ASII.JK,BBRI.JK,SIDO.JK,PGAS.JK,ADRO.JK,KAEF.JK,ANTM.JK,INDY.JK
2023-02-02,50.6443,52.2577,58.6908,47.7948,63.9174,47.6859,29.6388,45.2263,69.4551,33.1332
2023-02-03,58.9734,51.3681,55.4058,57.3107,65.4492,41.7228,25.8235,49.0639,66.0219,28.6668
2023-02-06,59.7057,51.3681,53.7848,56.5703,65.4492,44.5244,27.6472,49.0639,56.9304,27.3436
2023-02-07,63.2388,44.3612,55.1964,57.1662,67.0704,48.9309,36.8441,47.1484,54.2488,39.3939
2023-02-08,62.0666,48.1682,50.2386,59.5565,70.0931,47.312,39.117,42.6638,52.9069,38.8162
2023-02-09,64.2099,42.6663,43.2638,60.7363,70.0931,49.1247,35.4528,43.8149,50.2307,35.4562
2023-02-10,60.527,45.5374,44.9111,63.5956,70.0931,49.1247,31.4828,41.9989,50.2307,31.5364
2023-02-13,62.0882,44.7333,46.5814,58.1256,77.7467,52.8845,34.6358,43.2651,52.9886,34.4624
2023-02-14,64.3649,45.7647,46.5814,62.2095,83.7266,50.8606,38.4487,40.4147,48.635,36.4135
2023-02-15,60.4551,44.863,43.5207,62.2095,83.7266,50.8606,46.5129,40.4147,47.2417,35.2823
2023-02-16,52.4493,43.0367,45.4507,62.2095,85.9206,43.1922,44.9281,40.4147,36.9749,37.3773
2023-02-17,53.3987,42.1136,43.8374,62.8558,75.0274,46.4527,42.8326,42.0054,35.147,38.4502
2023-02-20,54.3797,49.1599,39.3276,62.8558,70.2328,45.5149,44.2332,42.0054,34.2356,35.2028
2023-02-21,52.0212,51.2885,37.927,56.1705,71.223,42.7282,40.0106,40.7439,34.2356,39.5978
2023-02-22,50.834,53.3901,42.3493,50.3979,74.0157,37.75,42.2374,40.7439,31.4025,38.8877
2023-02-23,53.1374,62.8765,44.4792,53.8063,74.0157,36.9767,45.8456,52.359,29.6414,38.8877
2023-02-24,50.5852,67.4207,52.1019,50.099,66.5281,35.4143,45.237,45.4987,27.1792,38.0953
2023-02-27,55.2179,58.5933,55.3992,54.3345,62.0234,38.2253,49.5634,46.9945,29.2878,39.4245
2023-02-28,53.8585,51.3525,69.1303,43.262,67.879,45.8409,52.2706,46.9945,27.5685,45.7022
2023-03-01,46.4666,55.0881,70.7468,47.3858,68.9115,42.9874,52.2706,70.4832,29.7879,45.7022
2023-03-02,47.7537,50.8805,70.7468,51.9034,73.4983,53.4005,52.2706,53.9926,32.0308,51.5281
2023-03-03,41.3328,52.4452,63.0844,50.3514,67.1013,49.5055,54.5555,48.6317,30.459,51.5281
2023-03-06,38.5423,50.7057,64.1304,52.639,68.098,53.183,45.8822,45.8314,27.1155,44.8334
2023-03-07,39.9965,50.7057,55.6416,56.2566,68.098,45.2055,42.5693,45.8314,25.3998,40.1518
2023-03-08,47.9539,55.8056,54.0992,56.2566,61.6041,43.639,47.4708,42.9623,21.3912,38.4234
2023-03-09,47.9539,58.1377,58.9955,53.4174,61.6041,47.5535,46.0597,42.9623,20.75,38.4234
2023-03-10,42.506,61.0862,55.7909,54.2463,65.4277,45.0275,43.2881,43.9791,22.0088,34.9353
2023-03-13,47.6317,65.0614,52.7077,55.1066,46.9614,44.185,46.7395,43.9791,19.9602,46.667
2023-03-14,39.1701,59.5977,44.7227,44.3337,44.5021,33.9295,38.532,35.2368,17.8702,39.7978
2023-03-15,39.1701,58.5388,44.7227,43.5693,48.8308,28.2754,37.4427,45.0412,27.2459,36.2103
2023-03-16,38.2935,61.4864,49.1867,46.5469,45.0469,24.281,32.0722,39.2779,23.0038,29.3679
2023-03-17,42.4542,61.4864,49.1867,59.5665,42.6729,30.9645,43.2323,40.1936,39.8211,37.8055
2023-03-20,43.8142,54.7191,50.725,57.7833,41.4954,26.9403,40.1852,36.6249,40.5206,34.992
2023-03-21,49.0056,63.9715,50.725,59.1018,43.1838,29.6265,40.9324,34.9538,39.0539,33.9051
2023-03-24,61.4668,58.9798,55.4206,65.3009,49.4661,31.4364,38.3525,34.3905,40.5976,34.9924
2023-03-27,55.8173,57.0617,50.2624,62.2875,52.3057,34.1712,38.3525,34.3905,49.5435,38.2731
2023-03-28,54.7337,57.0617,48.6374,64.073,55.0273,36.0039,45.5208,32.5646,53.5959,53.4519
2023-03-29,63.8337,60.7615,54.9162,66.3598,53.3869,39.6242,52.7521,32.5646,61.6513,62.7647
