Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2023-01-19,3170.0,2253.34,5708.34,8266.66,4583.34,2553.34,1033.34,1561.66,720.0,3853.34
2023-01-20,3213.34,2286.66,5816.66,8258.34,4623.34,2593.34,1078.34,1593.34,716.66,3840.0
2023-01-24,3163.34,2283.34,5866.66,8183.34,4580.0,2576.66,1026.66,1570.0,718.34,3830.0
2023-01-25,3103.34,2243.34,5883.34,8166.66,4533.34,2516.66,1076.66,1565.0,725.0,3806.66
2023-01-26,2976.66,2290.0,5850.0,8308.34,4553.34,2386.66,1086.66,1543.34,745.0,3880.0
2023-01-27,3000.0,2283.34,5850.0,8550.0,4600.0,2423.34,1100.0,1553.34,755.0,3943.34
2023-01-30,2960.0,2256.66,5800.0,8591.66,4560.0,2406.66,1093.34,1553.34,755.0,3923.34
2023-01-31,2926.66,2286.66,5925.0,8408.34,4560.0,2370.0,1028.34,1533.34,746.66,3816.66
2023-02-01,2920.0,2330.0,5950.0,8441.66,4636.66,2346.66,1048.34,1538.34,758.34,3840.0
2023-02-02,2836.66,2320.0,5875.0,8391.66,4573.34,2340.0,1058.34,1581.66,776.66,3853.34
2023-02-03,2710.0,2280.0,5841.66,8566.66,4660.0,2230.0,1075.0,1548.34,780.0,3860.0
2023-02-06,2720.0,2246.66,5816.66,8666.66,4676.66,2203.34,1071.66,1561.66,780.0,3850.0
2023-02-07,2850.0,2206.66,5825.0,8783.34,4716.66,2300.0,1070.0,1585.0,783.34,3773.34
2023-02-08,2880.0,2213.34,5750.0,8800.0,4736.66,2300.0,1033.34,1585.0,790.0,3803.34
2023-02-09,2810.0,2206.66,5616.66,8833.34,4773.34,2276.66,1041.66,1588.34,795.0,3740.0
2023-02-10,2706.66,2183.34,5600.0,8716.66,4793.34,2190.0,1035.0,1585.0,790.0,3726.66
2023-02-13,2763.34,2213.34,5683.34,8800.0,4766.66,2220.0,1048.34,1610.0,803.34,3756.66
2023-02-14,2783.34,2190.0,5683.34,8866.66,4830.0,2220.0,1035.0,1606.66,841.66,3763.34
2023-02-15,2866.66,2163.34,5591.66,8783.34,4823.34,2206.66,1031.66,1600.0,853.34,3740.0
2023-02-16,2876.66,2070.0,5650.0,8650.0,4850.0,2236.66,1030.0,1558.34,873.34,3746.66
2023-02-17,2850.0,2053.34,5625.0,8683.34,4843.34,2236.66,1035.0,1573.34,840.0,3730.0
2023-02-20,2843.34,2036.66,5550.0,8691.66,4846.66,2190.0,1040.0,1576.66,843.34,3780.0
2023-02-21,2793.34,2056.66,5533.34,8666.66,4800.0,2226.66,1036.66,1556.66,855.0,3823.34
2023-02-22,2823.34,2023.34,5566.66,8616.66,4723.34,2216.66,1016.66,1528.34,858.34,3816.66
2023-02-23,2863.34,2000.0,5583.34,8650.0,4750.0,2233.34,1045.0,1525.0,870.0,3916.66
